PlanId;Plannavn;Plantype;PlantypeId;Planstatus;PlanstatusId;IKraft;Lovreferanse;LovreferanseId;Vertikalnivå;VertikalnivåId;PlanBestemmelse;PlanBestemmelseId
201704;Salemsveien - Fåmyråsen -  gang og sykkelvei;Detaljregulering;35;Endelig vedtatt arealplan;3;31.01.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201705;Rosseland 75/446;Detaljregulering;35;Endelig vedtatt arealplan;3;13.02.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201706;Søgne omsorgssenter - Kleplandsveien;Detaljregulering;35;Endelig vedtatt arealplan;3;23.05.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201707;Kilenesheia vest;Detaljregulering;35;Endelig vedtatt arealplan;3;31.01.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201708;Søgne videregående skole - del av GB 1/1 - praksisarealer;Detaljregulering;35;Endelig vedtatt arealplan;3;21.06.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201801;Midtre del av Skarpøya;Detaljregulering;35;Endelig vedtatt arealplan;3;23.05.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201802;Del av Søvigheia;Detaljregulering;35;Endelig vedtatt arealplan;3;29.08.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201803;Åros barnehage;Detaljregulering;35;Endelig vedtatt arealplan;3;31.01.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201804;Del av Okse, GB 26/2, 67 og 68;Detaljregulering;35;Endelig vedtatt arealplan;3;25.04.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201806;Lohnelier industriområde nord - adkomstveg;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201807;Skalleråsen;Detaljregulering;35;Utgått/erstattet;5;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201810;Kjellandsheia nord - Mjåland;Områderegulering;34;Endelig vedtatt arealplan;3;26.09.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten, Over grunnen (bru);2, 3;Planbestemmelser både på kart og som egen tekst;4
201811;Kjellandsheia vest;Detaljregulering;35;Endelig vedtatt arealplan;3;26.09.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201812;Oftenesheia;Detaljregulering;35;Endelig vedtatt arealplan;3;26.09.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201901;Kommunedelplan for Borøya med omkringliggende øyer og holmer;Kommunedelplan;21;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;;;Med bestemmelser som egen tekst;1
201906;Nodeland sentrum;Områderegulering;34;Endelig vedtatt arealplan;3;19.06.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201908;Løbakken;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
492 E2;Endring av reguleringsplan for Elvebredden øst;Detaljregulering;35;Planlegging igangsatt;1;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
810 E3;Endring av reguleringsplan for Torp/Benestad - Høvågveien 100;Detaljregulering;35;Kun opprettet sak (foreløpig ikke annonsert);0;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
87 E15;Endring av reguleringsplan for Nedre Lund - Torridalsveien 86A og Major Laudals vei 21;Detaljregulering;35;Planlegging igangsatt;1;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
1085 E7;Endring av reguleringsplan for Sørlandsenteret og Bergsenteret - Barstølveien 19;Detaljregulering;35;Planlegging igangsatt;1;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
1520 E6;Endring av reguleringsplan for Benestad Bb1 og Bb5 - felt BBB4 og BBH;Detaljregulering;35;Planlegging igangsatt;1;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
2018022;Nye Rosseland skole - detalregulering;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;;
19620612;Et område av Høllen;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;12.06.1962;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
